number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_omega,params_rho,state
0,166.66666666666666,2026-06-22 15:24:39.236459,2026-06-22 15:24:41.955902,0 days 00:00:02.719443,2.3041137675906977,1.3630687784799185,1091.1445640860666,0.4210721375711883,COMPLETE
1,176.47058823529412,2026-06-22 15:24:41.955983,2026-06-22 15:24:44.746726,0 days 00:00:02.790743,1.912397939121456,4.906825684871157,2561.9303039336337,0.28693349367238663,COMPLETE
2,176.47058823529412,2026-06-22 15:24:44.746814,2026-06-22 15:24:46.745546,0 days 00:00:01.998732,1.0362956261440828,4.842637366929471,3024.3732317709528,0.43294564515249573,COMPLETE
3,176.47058823529412,2026-06-22 15:24:46.745587,2026-06-22 15:24:48.137926,0 days 00:00:01.392339,1.2784162812739004,2.713135907882459,664.1177201768359,0.3271597776411017,COMPLETE
4,176.47058823529412,2026-06-22 15:24:48.137965,2026-06-22 15:24:49.598206,0 days 00:00:01.460241,1.6372641290611216,1.9363053475629282,94.68212209216804,0.28213001249338693,COMPLETE
5,166.66666666666666,2026-06-22 15:24:49.598248,2026-06-22 15:24:50.746984,0 days 00:00:01.148736,0.5604325181652382,1.2110541382321696,2785.632872499771,0.13960654602868453,COMPLETE
6,176.47058823529412,2026-06-22 15:24:50.747025,2026-06-22 15:24:52.069598,0 days 00:00:01.322573,0.8866765246850832,3.1044149846381752,2198.0185343122876,0.2421058958114513,COMPLETE
7,176.47058823529412,2026-06-22 15:24:52.069637,2026-06-22 15:24:53.431429,0 days 00:00:01.361792,1.3313630580104578,4.2765538860764725,354.1052165811448,0.325731476919415,COMPLETE
8,166.66666666666666,2026-06-22 15:24:53.431468,2026-06-22 15:24:54.651867,0 days 00:00:01.220399,2.2731835973292265,1.5302362126607183,3940.8184126130473,0.18287972679305364,COMPLETE
9,176.47058823529412,2026-06-22 15:24:54.651907,2026-06-22 15:24:56.000878,0 days 00:00:01.348971,0.794392306027137,2.3210928560824016,2285.223462787132,0.454061397205816,COMPLETE
10,176.47058823529412,2026-06-22 15:24:56.000914,2026-06-22 15:24:57.321668,0 days 00:00:01.320754,2.902136768944323,3.595113290323299,4747.583901494749,0.0612337633771555,COMPLETE
